OBSTACLES: rows = 50, cols = 100
OBSTACLES: number of obstacles = 16
OBSTACLES: obstacle 0 created at (59, 48)

OBSTACLES: obstacle 1 created at (87, 3)

OBSTACLES: obstacle 2 created at (21, 24)

OBSTACLES: obstacle 3 created at (24, 48)

OBSTACLES: obstacle 4 created at (15, 28)

OBSTACLES: obstacle 5 created at (67, 46)

OBSTACLES: obstacle 6 created at (80, 26)

OBSTACLES: obstacle 7 created at (48, 47)

OBSTACLES: obstacle 8 created at (6, 36)

OBSTACLES: obstacle 9 created at (78, 23)

OBSTACLES: obstacle 10 created at (45, 33)

OBSTACLES: obstacle 11 created at (14, 7)

OBSTACLES: obstacle 12 created at (15, 26)

OBSTACLES: obstacle 13 created at (78, 7)

OBSTACLES: obstacle 14 created at (28, 14)

OBSTACLES: obstacle 15 created at (12, 12)

